"","Subject","File","Gender","Age","Total.time","Points","Clicker","Handeness","Language","Mobile","Normalized_button","Portrait","Strategy","Touch","User.agent","Window"
"46",46,"710877505-1494334400.json","f",58,4.03333333333333,"[225, 506, 77]","mouse","left","english","False","{'y': 0.10245555070113878, 'x': 0.4999999842433001}","False","n/a","False","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",1378
"47",47,"715406900-1494335901.json","m",28,2.91666666666667,"[860, 1586, 372]","mouse","right","English","False","{'y': 0.1023832226529375, 'x': 0.4999999893444222}","False","","False","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",1178
"48",48,"734650808-1494334361.json","m",32,2.23333333333333,"[140, 366, 48]","mouse","right","ENglish","False","{'y': 0.1024875601967746, 'x': 0.49999998149103825}","False","","False","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",1094
"49",49,"765574025-1494334233.json","f",68,2.16666666666667,"[147, 1678, 50]","mouse","right","En","False","{'y': 0.10239651794548046, 'x': 0.5000000446163495}","False","n","False","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.98 Safari/537.36 OPR/44.0.2510.857",1236
"50",50,"830651496-1494336425.json","m",28,2.91666666666667,"[130, 383, 68]","mouse","right","English","False","{'y': 0.10240804445620534, 'x': 0.5}","True","","True","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",1278
"51",51,"84454121-1494336539.json","f",25,3.23333333333333,"[119, 405, 26]","trackpad","right","English","False","{'y': 0.10247116968698518, 'x': 0.5}","False","","False","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",1366
"52",52,"851245797-1494336667.json","m",38,4.08333333333333,"[193, 361, 103]","mouse","right","English","False","{'y': 0.1026615957369877, 'x': 0.5}","False","","False","Mozilla/5.0 (X11; CrOS x86_64 9334.58.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.89 Safari/537.36",1093
"53",53,"886947122-1494334306.json","m",30,2.8,"[257, 724, 62]","mouse","right","English","False","{'y': 0.1026287360460929, 'x': 0.5}","False","","False","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",1920
"54",54,"944516147-1494336194.json","f",25,1.76666666666667,"[140, 333, 59]","mouse","right","english","False","{'y': 0.10251984811874353, 'x': 0.5}","False","n/a","False","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",1920
"55",55,"946385519-1494334313.json","m",34,3.38333333333333,"[769, 3894, 278]","mouse","right","English","False","{'y': 0.10248094014573944, 'x': 0.5}","False","none","False","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",1920
